Topic,Count,Name,Representation,Representative_Docs
-1,150,-1_hamas_gaza_israel_christmas,"['hamas', 'gaza', 'israel', 'christmas', 'war', 'agitators', 'israeli', 'bethlehem', 'internet', 'anti']","['Israel-Gaza War: Bethlehem Cancels Christmas Celebration', ""Biden says ICC move on arrest warrants for Israeli leaders `outrageous'"", 'ICC prosecutor seeks arrest warrants for Israeli PM, defence chief and 3 Hamas leaders']"
0,133,0_gaza_aid_war_ground,"['gaza', 'aid', 'war', 'ground', 'airdrop', 'israel', 'pier', 'end', 'civilians', 'months']","['Biden announces U.S. will airdrop food aid into Gaza', 'US carries out first airdrop of aid into Gaza', 'US carries out first airdrop of aid into Gaza']"
1,102,1_occupied_palestine_2024_2023,"['occupied', 'palestine', '2024', '2023', 'june', 'november', 'march', 'february', 'december', 'april']","['In Occupied Palestine - 23 June 2024', 'In Occupied Palestine - 11 March 2024', 'In Occupied Palestine - 19 March 2024']"
2,95,2_com_19_11_ng,"['com', '19', '11', 'ng', 'https', 'www', '23', 'icj', 'news', 'bellanaija']","['BREAKING: ICJ sides with SA, tells Israel to stop genocide attacks in Gaza', 'Breaking: Stop genocide in Gaza, ICJ orders Israel', 'Deegawapiya Trust Fund\' receives a donation of 4 million rupees\r\n103602417\t517\t23-11-19\tNG\tblueprint.ng\thttps://www.lankaweb.com/news/items/2023/11/18/un-faces-collapse-amidst-world-war-ahmadiyya-khalifa-warns-of-escalating-tensions-following-oppression-against-palestine/\tUN faces collapse amidst World War: Ahmadiyya Khalifa warns of escalating tensions following oppression against Palestine\r\n103602418\t301\t23-11-19\tNG\tblueprint.ng\thttps://www.lankaweb.com/news/items/2023/11/18/ai-generated-video-to-be-launched-suggesting-prabhakarans-daughter-alive-intelligence-reports/\tAI-generated video to be launched suggesting Prabhakaran\'s daughter alive: Intelligence Reports\r\n103602419\t586\t23-11-19\tNG\tblueprint.ng\thttps://www.lankaweb.com/news/items/2023/11/18/sri-lankan-navy-arrests-22-indian-fishermen-from-tamil-nadus-ramanathapuram-district-seizes-2-boats/\tSri Lankan Navy arrests 22 Indian fishermen from Tamil Nadu\'s Ramanathapuram district, seizes 2 boats\r\n103602420\t431\t23-11-19\tNG\tblueprint.ng\thttps://www.lankaweb.com/news/items/2023/11/18/sajith-tables-slc-letter-to-icc-over-undue-interference/\tSajith tables SLC letter to ICC over undue interference\r\n103602422\t451\t23-11-19\tNG\tblueprint.ng\thttps://www.lankaweb.com/news/items/2023/11/18/terms-of-china-debt-deal-shared-with-official-creditors-committee-cb-governor/\tTerms of China debt deal shared with official creditors\' committee: CB Governor\r\n103602424\t532\t23-11-19\tNG\tblueprint.ng\thttps://www.lankaweb.com/news/items/2023/11/18/sjb-eyes-on-no-confidence-motion-against-cope-chairman/\tSJB eyes on no-confidence motion against COPE chairman\r\n103602598\t1642\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/top-story/SLC-responds-to-Opposition-Leaders-allegations-over-ICC-reporting/155-271571\tSLC responds to Opposition Leader\'s allegations over ICC reporting \r\n103602601\t285\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Minister-accuses-Shammi-of-issuing-threats/108-271592\tMinister accuses Shammi of issuing threats \r\n103602602\t300\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/India-star-named-Player-of-the-Tournament-at-ICC-Mens-Cricket-World-Cup/108-271591\tIndia star named Player of the Tournament at ICC Men\'s Cricket World Cup \r\n103602603\t191\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/No-possibility-of-sugar-shortage-in-country-Siyambalapitiya/108-271590\tNo possibility of sugar shortage in country: Siyambalapitiya \r\n103602604\t915\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Australia-stun-hosts-India-to-win-sixth-title/108-271589\tAustralia stun hosts India to win sixth title \r\n103602606\t360\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Will-not-support-political-parties-to-bring-people-to-their-rallies-Gemunu/108-271586\tWill not support political parties to bring people to their rallies: Gemunu \r\n103602607\t127\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Sudden-flood-situation-in-low-lying-areas-of-Maha-Oya-valley/108-271585\tSudden flood situation in low-lying areas of Maha Oya valley \r\n103602609\t592\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/MDMK-urges-Union-govt-to-deal-toughly-with-Sri-Lanka-on-fishermen-issue/108-271583\tMDMK urges Union govt. to `deal toughly\' with Sri Lanka on fishermen issue \r\n103602610\t602\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Australia-restrict-India-to-240-in-tense-World-Cup-final/108-271577\tAustralia restrict India to 240 in tense World Cup final \r\n103602611\t162\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Group-of-Opposition-MPs-begin-signing-motion-urging-for-select-committee-to-probe-cricket/108-271581\tGroup of Opposition MPs begin signing motion urging for select committee to probe cricket \r\n103602614\t616\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Debt-settlement-President-calls-for-collaboration-among-creditors-intl-financial-institutions/108-271576\tDebt settlement: President calls for collaboration among creditors, int\'l financial institutions \r\n103602616\t385\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Indian-fishermen-detained-by-SL-Navy-freed-after-Finance-Ministers-intervention/108-271573\tIndian fishermen detained by SL Navy freed after Finance Minister\'s intervention \r\n103602617\t707\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Nearly-200-000-new-taxpayers-registered-so-far-in-2023-IRD-tells-COPA/108-271572\tNearly 200,000 new taxpayers registered so far in 2023: IRD tells COPA \r\n103602618\t155\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/Boat-capsizes-in-Marawila-Four-including-Japanese-national-who-went-missing-rescued/108-271569\tBoat capsizes in Marawila: Four including Japanese national who went missing, rescued \r\n103602619\t272\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/breaking-news/VAT-increase-wont-affect-electricity-tariff-assures-State-Minister/108-271568\tVAT increase won\'t affect electricity tariff, assures State Minister \r\n103602620\t718\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/opinion/Positive-action-needed-to-prevent-a-new-aragalaya-EDITORIAL/172-271599\tPositive action needed to prevent a new `aragalaya\' - EDITORIAL \r\n103602621\t1185\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/opinion/POKE-during-COPE-Professors-finger-stirs-Parliament-poisoned-milk-and-hunt-for-the-Fifteen/172-271598\tPOKE during COPE: Professor\'s finger stirs Parliament - poisoned milk and hunt for the `Fifteen\' \r\n103602622\t625\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/news-features/Birthday-tribute-to-King-Charles-III/131-271597\tBirthday tribute to King Charles III \r\n103602623\t1376\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/news-features/Sri-Lankas-Journey-on-Universal-Childrens-Day/131-271596\tSri Lanka\'s Journey on Universal Children\'s Day \r\n103602630\t441\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/cricket/Travis-Head-delivers-World-Cup-final-masterclass-in-POTM-display/315-271594\tTravis Head delivers World Cup final masterclass in POTM display \r\n103602633\t520\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/business-main/SL-told-to-impose-cash-transaction-cap-to-widen-tax-base/245-271613\t & &nbsp; SL told to impose cash transaction cap to widen tax base & \r\n103602634\t420\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/business-news/President-calls-on-Lankan-biz-to-invest-in-neighbouring-countries/273-271612\t & &nbsp; President calls on Lankan biz to invest in neighbouring countries & \r\n103602635\t454\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/business-news/Central-Bank-issues-clarification-on-composition-of-Governing-Board-and-Monetary-Policy-Board/273-271611\t & &nbsp; Central Bank issues clarification on composition of Governing Board and Monetary Policy Board & \r\n103602645\t738\t23-11-19\tNG\tbellanaija.com\thttps://www.dailymirror.lk/press-releases/Harpics-Hummingbird-Tale/335-271570\tHarpic\'s Hummingbird Tale \r\n103602647\t299\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/news/india/uttarkashi-tunnel-collapse-govt-initiates-five-option-action-plan-rescue-trapped-workers-silkyara-anurag-jain-nhidcl-char-dham-ongc-2023-11-19-903466\tUttarkashi tunnel collapse: Govt initiates five-option action plan for rescue of trapped workers\r\n103602648\t335\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/news/india/manipur-airport-high-alert-unidentified-flying-object-ufo-sighting-airspace-latest-updates-2023-11-19-903449\tManipur airport on high alert after unidentified flying object spotted\r\n103602649\t420\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/mizoram/29-myanmar-soldiers-who-crossed-over-to-india-after-gunfight-sent-back-latest-updates-2023-11-19-903440\tMizoram: 29 Myanmar soldiers who crossed over to India after gunfight sent back\r\n103602650\t345\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/west-bengal/kolkata-mamata-banerjee-demands-railways-roll-back-dynamic-pricing-give-priority-to-safety-of-passengers-2023-11-19-903456\tBengal: Mamata demands railways roll back dynamic pricing, give priority to safety of passengers \r\n103602651\t361\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/shah-rukh-khan-sweet-gesture-for-asha-bhosle-during-ind-vs-aus-final-match-goes-viral-watch-2023-11-19-903445\tShah Rukh Khan\'s SWEET gesture for Asha Bhosle during IND vs AUS Final match goes viral | WATCH \r\n103602652\t269\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/ghar-tode-varun-dhawan-to-karan-johar-in-new-koffee-with-karan-8-promo-2023-11-19-903462\t\'Ghar tode\': Varun Dhawan to Karan Johar in new Koffee With Karan 8 promo \r\n103602653\t313\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/west-bengal/kolkata-west-bengal-family-of-four-found-dead-in-apparent-murder-suicide-north-24-parganas-decomposed-bodies-kolkata-police-2023-11-19-903490\tWest Bengal: Decomposed bodies of four of family found in North 24 Parganas \r\n103602654\t246\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/rajasthan/rajasthan-assembly-elections-rahul-gandhi-takes-stock-of-congress-war-room-preparations-upcoming-polls-sukhjinder-singh-randhawa-amrita-dhawan-2023-11-19-903488\tRajasthan Elections: Rahul Gandhi takes stock of Congress war room preparations for upcoming polls \r\n103602655\t388\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/news/india/goa-former-congress-leader-alexio-sequeria-sworn-as-minister-cabinet-nilesh-cabral-resigns-latest-updates-2023-11-19-903482\tFormer Congress leader Alexio Sequeria sworn as minister Goa cabinet \r\n103602657\t300\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/uttar-pradesh/uttar-pradesh-bus-overturns-during-educational-tour-people-injured-including-students-teachers-vivekanand-inter-college-duboulia-bazar-area-2023-11-19-903476\tBus overturns during educational tour: 30 Injured including students, teachers in UP\'s Basti \r\n103602660\t257\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/ind-vs-aus-harbhajan-singh-gets-slammed-for-sexist-remark-on-anushka-sharma-athiya-shetty-2023-11-19-903474\tIND vs AUS: Harbhajan Singh gets SLAMMED for \'sexist\' remark on Anushka Sharma, Athiya Shetty \r\n103602662\t395\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/no-matter-what-woman-sushmita-sens-estranged-sister-in-law-charu-asopa-denied-house-for-being-single-mom-2023-11-19-903468\tSushmita Sen\'s estranged sister-in-law Charu Asopa denied house for being single mom \r\n103602665\t379\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/you-gave-me-my-first-ever-hit-abhishek-bachchan-mourns-dhoom-director-sanjay-gadhvi-s-death-2023-11-19-903432\t\'You gave me my first ever hit\': Abhishek Bachchan mourns \'Dhoom\' director Sanjay Gadhvi\'s death \r\n103602666\t357\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/shah-rukh-khan-s-fearless-act-with-snake-at-isha-ambani-s-party-goes-viral-watch-2023-11-19-903420\tShah Rukh Khan\'s fearless act with snake at Isha Ambani\'s party goes viral | WATCH \r\n103602667\t341\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/celebrities/malayalam-actor-vinod-thomas-dies-at-45-found-dead-inside-his-car-in-kottayam-2023-11-19-903408\tMalayalam actor Vinod Thomas dies at 45, found dead inside his car in Kottayam \r\n103602668\t335\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/celebrities/doom-director-sanjay-gadhvi-dies-at-57-due-to-heart-attack-2023-11-19-903399\tDhoom director Sanjay Gadhvi dies at 57 due to heart attack \r\n103602669\t388\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/celebrities/ind-vs-aus-from-deepika-padukone-to-kapil-dev-celebrities-flying-to-ahmedabad-for-world-cup-final-2023-11-19-903382\tIND vs AUS: From Deepika Padukone to Kapil Dev, celebrities flying to Ahmedabad for World Cup final \r\n103602670\t320\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/news/salman-khan-katrina-kaif-tiger-3-box-office-collection-day-7-2023-11-19-903379\tHow much Salman Khan\'s \'Tiger 3\' earn on weekend? Full box office collection here \r\n103602671\t316\t23-11-19\tNG\tthenewsguru.com\thttps://www.indiatvnews.com/entertainment/celebrities/i-was-going-to-marry-sushmita-sen-breaks-silence-on-dating-lalit-modi-2023-11-19-903357\tI was going to marry..."" Sushmita Sen breaks silence on dating Lalit Modi ']"
3,80,3_hostages_hostage_released_hamas,"['hostages', 'hostage', 'released', 'hamas', 'israeli', 'release', 'freed', 'releases', 'truce', 'rescue']","['Hamas releases video of three Israeli women hostages held in Gaza', 'Israel Says 12 More Hostages Released By Hamas', 'Gaza Truce Deal: 14 Israeli Hostages, 3 Foreigners Handed To Red Cross. 39 Palestinians Released']"
4,65,4_lebanon_hezbollah_syria_border,"['lebanon', 'hezbollah', 'syria', 'border', 'strike', 'strikes', 'embassy', 'lebanese', 'backed', 'media']","['Hezbollah says fires &#x27;dozens&#x27; of rockets at Israel after deadly Lebanon strike', 'Israel kills a senior Hezbollah commander in Lebanon: sources', 'Lebanon&#x27;s Hezbollah says 2 fighters killed in Israeli attacks']"
5,62,5_hospital_shifa_al_children,"['hospital', 'shifa', 'al', 'children', 'gaza', 'hospitals', 'babies', 'patients', 'sunak', 'x27']","[""Al Shifa Hospital a `death zone': WHO"", ' Israeli army storms Al-Shifa Hospital in Gaza ', ""Israel raids Gaza's Al-Shifa Hospital ""]"
6,50,6_iran_attack_iranian_drones,"['iran', 'attack', 'iranian', 'drones', 'x27', 'israel', 'seized', 'says', 'biden', 'warns']","[""US Helped Israel Down `Nearly All' Iran Drones - Biden"", ' Israel attacks Iran, sources say, drones ... ', 'Iran and Israel have a history of enmity. What key recent events led to Iran&#x27;s assault on Israel?']"
7,46,7_pro_protest_supporters_protesters,"['pro', 'protest', 'supporters', 'protesters', 'protests', 'rally', 'palestinian', 'palestine', 'arrested', 'march']","['MetroHundreds of pro-Palestine demonstrators take to Cleveland City Council meeting to criticize Bibb, councilHundreds of pro-Palestine supporters attended Cleveland City Council&#x27;s Monday meeti', 'Update: Pro-Palestinian supporters march to police station after arrests', 'Tensions ran high in Cape Town after a planned prayer rally by Israeli supporters at the Sea Point promenade was disrupted by pro-Palestinian protesters at the weekend.']"
8,46,8_hamas_war_israel_8217,"['hamas', 'war', 'israel', '8217', 'russia', 'escalation', 'attack', 'right', 'humanitarian', 'lies']","['Israel-Hamas war', 'Israel-Hamas war', 'Israel-Hamas war']"
