Topic,Count,Name,Representation,Representative_Docs
-1,358,-1_hostage_fuel_gaza_hospital,"['hostage', 'fuel', 'gaza', 'hospital', 'deal', 'families', 'pinoys', 'alia', 'ceasefire', 'hamas']","[""'Israel will not supply water, fuel to Gaza'"", 'Gaza loses phone and internet and Israeli families push for hostage release deal', 'What To Know About The Israel-Hamas Hostage Deal']"
0,203,0_gaza_war_fighting_genocide,"['gaza', 'war', 'fighting', 'genocide', 'look', 'displaced', 'civilians', 'post', 'conquest', 'violence']","['Israel Gaza war', 'Israel Gaza war', 'Israel-Gaza war']"
1,159,1_iran_attack_retaliation_escalation,"['iran', 'attack', 'retaliation', 'escalation', 'restraint', 'warns', 'iranian', 'world', 'israel', 'response']","['Israel Iran War', 'Iran Israel War', 'Israel Iran War']"
2,132,2_pro_protests_rally_march,"['pro', 'protests', 'rally', 'march', 'thousands', 'protesters', 'police', 'protest', 'palestinian', 'london']","[' Pro-Palestinian march draws thousands in London with protests across UK ', ' Thousands of pro-Palestinian protesters march in Washington ', 'Thousands of pro-Palestinian protesters march in New York']"
3,112,3_india_opinion_upfront_kerala,"['india', 'opinion', 'upfront', 'kerala', 'indian', 'terrorism', 'hamas', 'terror', 'palestine', 'conflict']","['Opinion | Beyond Just Intelligence: Lessons for India from Attack on Israel', ""OPINION | INDIA'S BALANCED STAND ON ISRAEL, PALESTINE AND HAMAS "", 'Hamas-Israel war and India']"
4,108,4_blinken_antony_visit_arab,"['blinken', 'antony', 'visit', 'arab', 'meets', 'ukraine', 'tour', 'china', 'talks', 'urges']","[' Antony Blinken Talks Peace in Gaza with UAE, Qatar, and Egypt ', 'US state secretary Antony Blinken to visit China with message on Russia support', 'Blinken in Israel: We will always have your back']"
5,104,5_toll_death_000_rises,"['toll', 'death', '000', 'rises', 'ministry', 'tops', 'crosses', 'palestinian', 'health', 'surpasses']","[' Israel death toll mounts to over 1,000 in Hamas attacks, says Israeli ... ', '  Israel: Death toll from Hamas attack rises to', ' Death toll in Israel-Hamas conflict nears 3,000 ']"
6,94,6_killed_palestinians_soldiers_strikes,"['killed', 'palestinians', 'soldiers', 'strikes', 'israeli', '24', 'kill', 'kills', 'dozens', 'deadliest']","['More than 50 Palestinians killed in Israeli air strikes on Gaza refugee camp, says report', 'Gaza authorities say Israeli air strikes killed over 700 Palestinians in past 24 hours', 'Israel says 24 soldiers killed in deadliest day of ground war']"
7,93,7_war_hamas_israel_god,"['war', 'hamas', 'israel', 'god', 'bell', 'cambodian', 'cat', 'winners', 'consequenceof', 'pr']","['Israel-Hamas war', 'Israel-Hamas war', 'Israel-Hamas war']"
8,89,8_rafah_crossing_offensive_halt,"['rafah', 'crossing', 'offensive', 'halt', 'egypt', 'assault', 'orders', 'border', 'deeper', 'immediately']","['World Court Orders Israel To Immediately Halt Rafah Military Offensive', 'Israeli forces take control of the Gaza side of the Rafah crossing with Egypt', 'ICJ orders Israel to halt Rafah offensive in Gaza']"
9,79,9_truce_proposal_deal_ceasefire,"['truce', 'proposal', 'deal', 'ceasefire', 'accepts', 'plan', 'hamas', 'extended', 'days', 'agreement']","[' Israel-Hamas truce extended by two days ', 'Hamas official says no deal yet on Gaza truce', 'Hamas accepts Gaza truce proposal']"
10,63,10_democracy_judicial_muslim_isolation,"['democracy', 'judicial', 'muslim', 'isolation', 'israel', 'consistent', 'brought', 'instability', 'game', 'support']","['Anwar: Muslim countries must be consistent, ensure Israel is brought to justice', 'National NewsPolitics watch: Israeli tensions, local electionsHere, we have a look at the topics likely to dominate D†il debate in the week to come1 hour ago RSS, Syndicated Content', 'Anwar: Muslim countries must be consistent, ensure Israel is brought to justice ˇ']"
11,55,11_palestine_conflict_guide_ii,"['palestine', 'conflict', 'guide', 'ii', 'peace', 'eye', 'jews', 'israel', 'led', 'laws']","['Israel-Palestine Conflict', 'Israel-Palestine Conflict', 'Israel-Palestine Conflict']"
12,55,12_china_beijing_chinese_efforts,"['china', 'beijing', 'chinese', 'efforts', 'xi', '8217', 'alibaba', 'baidu', 'maps', 'stance']","['China reacts to Israel-Gaza conflict', 'China&#8217;s Role on Palestine', 'China calls for peace after Iran&#8217;s strike against Israel &#8211; China Daily']"
13,54,13_hamas_war_russia_declares,"['hamas', 'war', 'russia', 'declares', 'months', 'militant', 'conflict', 'putin', 'israel', 'history']","['Israel Hamas War', ' Israel Hamas War', 'Israel Hamas war']"
14,50,14_flights_airlines_suspends_air,"['flights', 'airlines', 'suspends', 'air', 'airspace', 'aviv', 'tel', 'india', 'till', 'avoid']","['Israel terror attack: Air India suspends flights to, from Tel Aviv till October 14', 'Air India suspends flights to Tel Aviv', 'Middle East crisis Air India suspends Tel Aviv flights airlines avoid Iranian airspace']"
15,45,15_modi_pm_speaks_stands,"['modi', 'pm', 'speaks', 'stands', 'firmly', 'summit', 'civilian', 'solidarity', 'phone', 'india']","[' India stands firmly with Israel, says Modi after receiving phone call from Netanyahu ', 'India stands firmly with Israel: Modi', 'India stands by Israel: PM Modi to Netanyahu over phone']"
16,45,16_hospital_hospitals_largest_functioning,"['hospital', 'hospitals', 'largest', 'functioning', 'nasser', 'main', 'field', 'anaesthetics', 'complete', 'gaza']","['Heavy fighting in Gaza&#8217;s second-largest city leaves hundreds of patients stranded in main hospital', 'Israel-Hamas War: No functioning hospitals left in northern Gaza, says WHO amid truce talks ', 'Hospital in Gaza']"
17,45,17_africa_south_case_genocide,"['africa', 'south', 'case', 'genocide', 'court', 'icj', 'genocidal', 'justice', 'international', 'hearings']","['UN court hears South Africa genocide case against Israel', 'South Africa&#x27;s &#x27;Genocide&#x27; Case Against Israel: What Can the ICJ Do & How Long Will it Take? | Explained', "" What is South Africa's genocide case against Israel? ""]"
18,43,18_hostages_freed_release_thai,"['hostages', 'freed', 'release', 'thai', 'released', 'releases', '14', 'thailand', '13', 'families']","['17 Thai hostages released by Hamas arrive in Thailand from Gaza', 'US says Hamas must release hostages for Gaza to get more aid ', ' Hamas to release 14 Israel hostages, 42 Palestinians also to be freed ']"
19,43,19_hezbollah_lebanon_border_exposed,"['hezbollah', 'lebanon', 'border', 'exposed', 'stakes', 'active', 'pull', 'avert', 'fighting', 'citizens']","[""Hezbollah head says Lebanon could be `exposed' to more Israeli attacks"", ' Lebanon Next? ', ' Israel warns Hezbollah and Lebanon over border fighting ']"
20,40,20_hostages_mistakenly_idf_killed,"['hostages', 'mistakenly', 'idf', 'killed', 'rescues', 'dead', 'mistaking', 'confirms', 'recovered', 'says']","['Israel hostages: IDF says it mistakenly killed three men held in...', 'Israeli Military Says It Mistakenly Killed 3 Hostages In Gaza', 'Israel mistakenly killed three hostages, IDF says']"
