Topic,Count,Name,Representation,Representative_Docs
-1,1425,-1_hospital_gaza_hospitals_ground,"['hospital', 'gaza', 'hospitals', 'ground', 'flights', 'x27', 'hezbollah', 'fighting', 'war', 'israeli']","[""Heavy fighting around Gaza's largest hospital forces many to flee"", ' Israel warns Hezbollah and Lebanon over border fighting ', 'Heavy fighting rages near main Gaza hospital and people trapped inside say they cannot flee']"
0,1390,0_pro_protesters_protests_university,"['pro', 'protesters', 'protests', 'university', 'police', 'protest', 'rally', 'march', 'anti', 'thousands']","['Thousands of pro-Palestinian protesters demand ceasefire during London march', 'Police Arrest More Than 100 Pro-Palestinian Protesters at Columbia University', ' &Police move on pro-Palestinian protesters at University of B.C. campus&VANCOUVER - Police have moved on pro-Palestinian protesters at the University of British Columbia campus in ']"
1,514,1_iran_response_attack_iranian,"['iran', 'response', 'attack', 'iranian', 'restraint', 'strike', 'retaliation', 'tehran', 'escalation', 'warns']","['Iran Attacks Israel', 'Israel Iran War', 'Iran Israel War']"
2,389,2_blinken_antony_meets_arab,"['blinken', 'antony', 'meets', 'arab', 'visit', 'mideast', 'abbas', 'saudi', 'tour', 'east']","[' Blinken meets Israeli President to push for Gaza ceasefire ', 'Israel war: Antony Blinken to visit Israel this week', 'Blinken in Israel: We will always have your back']"
3,309,3_democracy_sound_readers_allies,"['democracy', 'sound', 'readers', 'allies', 'israel', 'jews', 'isolation', 'opinion', 'just', 'support']","['Angry Israelis can teach Americans what a true democracy looks like | Opinion', 'Israelis call for democracy amid occupation', 'Israel: the end of democracy?']"
4,241,4_war_hamas_israel_states,"['war', 'hamas', 'israel', 'states', 'rael', 'precipice', 'ness', 'arts', 'nites', 'mut']","['Israel-Hamas War', 'Israel-Hamas war', 'Israel-Hamas war']"
5,187,5_daughter_mother_hostage_kidnapped,"['daughter', 'mother', 'hostage', 'kidnapped', 'old', 'held', 'girl', 'year', 'mom', 'released']","['American mother and daughter who were taken hostage in Israel released', 'American mother and daughter kidnapped by Hamas are first hostages released from Gaza', 'US mother and daughter held hostage by Hamas have been released, says Israel']"
6,178,6_toll_death_000_rises,"['toll', 'death', '000', 'rises', 'ministry', 'climbs', 'crosses', 'tops', 'exceeds', 'nears']","['Israel-Hamas war rages as Palestinian death toll in Gaza rises from attacks', 'Palestinian death toll rises above 20,000, Gaza Health Ministry says', '  Israel: Death toll from Hamas attack rises to']"
7,169,7_netanyahu_biden_speak_hurting,"['netanyahu', 'biden', 'speak', 'hurting', 'mistake', 'policy', 'weapons', 'approach', 'pressure', 'speaks']","['Biden and Netanyahu speak as ceasefire pressure grows on Israel and Hamas', 'Biden and Netanyahu speak as ceasefire pressure grows on Israel and Hamas', 'Biden and Netanyahu speak as pressure grows on Israel over Rafah invasion and cease-fire talks']"
8,160,8_famine_hunger_food_imminent,"['famine', 'hunger', 'food', 'imminent', 'starvation', 'catastrophic', 'starving', 'hungry', 'population', 'levels']","['Gaza population at risk of famine as it continues to face emergency levels of hunger, report finds', 'Entire Gaza population facing hunger crisis, famine risk: U.N.-backed report', ""Famine in northern Gaza is imminent as more than 1 million people face `catastrophic' levels of hunger, new report warns""]"
9,154,9_flee_evacuation_northern_orders,"['flee', 'evacuation', 'northern', 'orders', 'evacuate', 'palestinians', 'million', 'residents', 'gazans', 'civilians']","['Thousands flee north Gaza after Israel evacuation warning', 'Thousands flee north Gaza after Israel evacuation warning', 'Palestinians flee south after Israel calls for evacuation of northern Gaza']"
