Topic,Count,Name,Representation,Representative_Docs
-1,331,-1_hamas_israel_gaza_khalifa,"['hamas', 'israel', 'gaza', 'khalifa', 'mia', 'rights', 'shani', 'x27', 'video', 'ceasefire']","['STING STRIKES Israel uses &#x27;Iron Sting&#x27; for first time as commandos mount raids INSIDE GazaFOOTAGE shows the dramatic moment the laser and GPS-guided mortar destroyed a Hamas rocket launche', 'Mia Khalifa on Israel Hamas conflict', 'STING STRIKES Israel uses &#x27;Iron Sting&#x27; for first time as commandos mount raids INSIDE GazaFOOTAGE shows the dramatic moment the laser and GPS-guided mortar destroyed a Hamas rocket launche']"
0,357,0_pro_palestine_protesters_march,"['pro', 'palestine', 'protesters', 'march', 'thousands', 'protest', 'protests', 'university', 'police', 'palestinian']","['Thousands of pro-Palestine protesters march calling for immediate ceasefire', 'Thousands march in London pro-Palestinian rally', 'Thousands march at Dublin pro-Palestinian rally in protest and solidarity']"
1,113,1_hostages_hostage_released_release,"['hostages', 'hostage', 'released', 'release', 'freed', 'hamas', 'daughter', 'taken', 'families', 'girl']","["" `It's hell' - Families of Israeli hostages call for their release six months on "", 'US mother and daughter held hostage by Hamas have been released, says Israel', 'HOSTAGES FREED Red Cross confirms Hamas has freed 2 more hostages after 200 held captive']"
2,107,2_netanyahu_benjamin_cabinet_address,"['netanyahu', 'benjamin', 'cabinet', 'address', 'leaders', 'biden', 'jazeera', 'deliver', 'congress', 'invite']","["" &US leaders invite Israel's Netanyahu to deliver an address to Congress&WASHINGTON (AP) - Top U.S. leaders have invited Israeli Prime Minister Benjamin Netanyahu to deliver an addr"", "" &US leaders invite Israel's Netanyahu to deliver an address to Congress&WASHINGTON (AP) - Top U.S. leaders have invited Israeli Prime Minister Benjamin Netanyahu to deliver an addr"", "" &US leaders invite Israel's Netanyahu to deliver an address to Congress&WASHINGTON (AP) - Top U.S. leaders have invited Israeli Prime Minister Benjamin Netanyahu to deliver an addr""]"
3,107,3_x27_gaza_war_palestinians,"['x27', 'gaza', 'war', 'palestinians', 'months', 'journalists', 'conflict', 'gazans', 'say', 'living']","['Israel Gaza War', 'Israel Gaza War', 'Israel War on Gaza']"
4,98,4_iran_attack_strike_fears,"['iran', 'attack', 'strike', 'fears', 'nuclear', 'israel', 'ww3', 'middle', 'east', 'threat']","['Middle East on the brink of all-out war as Iran launches unprecedented attack on Israel', 'Israel launches strike on Iran, US official says', 'Iran-Israel crisis']"
5,87,5_hospital_shifa_hospitals_al,"['hospital', 'shifa', 'hospitals', 'al', 'patients', 'doctor', 'gaza', 'main', 'field', 'troops']","['Israel-Hamas war: Gaza&#x27;s Al Shifa hospital has tanks at its gates', ""Is Gaza's al-Shifa hospital a Hamas base, as Israel claims?"", 'Palestinian fighters battle Israeli forces around Gaza&#x27;s Al Shifa Hospital']"
6,87,6_hezbollah_lebanon_border_rockets,"['hezbollah', 'lebanon', 'border', 'rockets', 'rocket', 'south', 'strike', 'kills', 'fired', 'strikes']","['Fears grow in Israel of war with Lebanon&#x27;s Hezbollah', 'Israeli strike kills Hezbollah commander in Lebanon: security official', 'Hezbollah says four of its fighters killed in southern Lebanon']"
7,80,7_blinken_returns_east_x27,"['blinken', 'returns', 'east', 'x27', 'push', 'saudi', 'tour', 'meet', 'abbas', 'china']","['Blinken heads to Israel to press for &#x27;immediate&#x27; truce in Gaza war', 'Blinken to meet Egypt&#x27;s Sisi on Gaza hostage deal', 'Gaza death toll rises as Blinken returns to the Middle East']"
8,74,8_rafah_offensive_assault_operation,"['rafah', 'offensive', 'assault', 'operation', 'warns', 'military', 'tent', 'invasion', 'tanks', 'israeli']","['Biden warns Israel over possible military operation in Rafah', 'Biden warns Israel over possible military operation in Rafah', 'Biden warns Israel over possible military operation in Rafah']"
