Topic,Count,Name,Representation,Representative_Docs
-1,561,-1_hospital_gaza_israel_hamas,"['hospital', 'gaza', 'israel', 'hamas', 'thunberg', 'greta', 'lebanon', 'gantz', 'hezbollah', 'sound']","['Israel Hamas War Live Updates', 'Israel battles Hamas near Gaza&#039;s largest hospital as hostage deal looms, Netanyahu says', ""Israel-Hamas war live updates: Harris calls for immediate Gaza cease-fire ahead of meeting with Israel's Gantz""]"
0,657,0_pro_protesters_protests_anti,"['pro', 'protesters', 'protests', 'anti', 'palestinian', 'university', 'police', 'columbia', 'protest', 'campus']","['Protesters in custody after Columbia University calls in police to end pro-Palestinian occupation', 'University of Minnesota police arrest 9 after pro-Palestinian encampment set up on campus', 'Police Arrest More Than 100 Pro-Palestinian Protesters at Columbia University']"
1,202,1_iran_response_attack_iranian,"['iran', 'response', 'attack', 'iranian', 'strike', 'weighs', 'strikes', 'israel', 'alert', 'hit']","['Israel weighs response to Iran attack', 'Israel weighs response to Iran attack', 'Israel weighs response to Iran attack']"
2,191,2_gaza_war_latest_opinion,"['gaza', 'war', 'latest', 'opinion', 'conflict', 'strip', 'future', 'tacks', 'cycle', 'world']","[""The latest on Israel's war in Gaza"", ""The latest on Israel's war in Gaza"", ""The latest on Israel's war in Gaza""]"
3,164,3_blinken_meets_antony_mideast,"['blinken', 'meets', 'antony', 'mideast', 'secretary', 'cease', 'arab', 'humanitarian', 'leaders', 'abbas']","['Blinken calls for humanitarian pause in Gaza as he meets with Arab leaders in Jordan', 'Israel war: Antony Blinken to visit Israel this week', 'U.S. Secretary of State Antony Blinken meets with Palestinian Authority president during West Bank trip']"
4,113,4_mother_daughter_hostage_old,"['mother', 'daughter', 'hostage', 'old', 'year', 'kidnapped', 'mom', 'father', 'evanston', 'held']","['Evanston mother, daughter missing in Israel after attack feared kidnapped', 'A Mother and Daughter Kidnapped by Hamas Have Been Released: Reports', 'What we know about the Evanston mother, daughter released by Hamas after being taken hostage']"
5,109,5_hostages_rescue_bodies_rescued,"['hostages', 'rescue', 'bodies', 'rescued', 'idf', 'hostage', 'recovers', 'rescues', 'recovered', 'body']","['Israel-Gaza live updates: IDF says 2 hostages rescued from Gaza', 'Israeli military recovers the bodies of 3 more hostages killed on Oct. 7 from Gaza', ""IDF recovers three hostages' bodies from Gaza""]"
6,105,6_biden_policy_trip_administration,"['biden', 'policy', 'trip', 'administration', 'visit', 'president', 'joe', 'weapons', 'test', '2023']","[""Israel war: Biden's foreign policy fails on its own terms"", 'How President Joe Biden&#x27;s Israel trip came together', 'With Israel war zone visit, Biden&#x27;s personal diplomacy put to the test: ANALYSISOct 17, 2023']"
7,89,7_netanyahu_biden_speaks_weapons,"['netanyahu', 'biden', 'speaks', 'weapons', 'shipments', 'pm', 'speak', 'hurting', 'denies', 'won']","['Biden speaks with Netanyahu as Israelis appear closer to Rafah offensive', 'Netanyahu, Biden finally speak for first time since president&#039;s &#039;over the top&#039; criticism', 'Biden speaks to Netanyahu amid cease-fire talks and evacuation of Rafah']"
8,89,8_war_hamas_israel_states,"['war', 'hamas', 'israel', 'states', 'rael', 'ig', 'kaitlan', 'ter', 'tween', 'mu']","['Israel-Hamas war', 'Israel-Hamas war', 'Israel-Hamas war']"
9,79,9_ukraine_senate_package_aid,"['ukraine', 'senate', 'package', 'aid', 'taiwan', 'house', 'vote', 'passes', 'congress', 'border']","['Senate passes $95B aid package for Ukraine, Israel and Taiwan despite Trump attacks', 'Senate Passes Aid Package For Ukraine And Israel In Bipartisan Vote', 'Senate to take up Ukraine, Israel foreign aid package']"
10,74,10_kitchen_central_workers_world,"['kitchen', 'central', 'workers', 'world', 'aid', 'killed', 'andrçs', 'strike', 'josç', 'airstrike']","['6 international aid workers with World Central Kitchen killed in airstrike in Gaza', 'Five workers with World Central Kitchen killed in Israeli attack in Gaza, group says', ""Who were the World Central Kitchen workers killed in Israel's strike in Gaza?""]"
11,68,11_ground_troops_assault_invasion,"['ground', 'troops', 'assault', 'invasion', 'offensive', 'strip', 'expands', 'withdraws', 'expanding', 'forces']","['Israeli troops wait on Gaza ground invasion go-ahead', 'Israel-Gaza live updates: Israel withdraws ground troops from southern Gaza, IDF says', 'Israeli military withdraws most ground troops from southern Gaza']"
12,68,12_families_biden_hostages_american,"['families', 'biden', 'hostages', 'american', 'meet', 'hostage', 'americans', 'held', 'free', 'deal']","['Families of Americans held hostage by Hamas meet with Biden at White House', 'President Biden to meet with families of American hostages', 'Families of American hostages in Gaza meet with Biden']"
13,67,13_flee_evacuation_evacuate_orders,"['flee', 'evacuation', 'evacuate', 'orders', 'palestinians', 'gazans', 'civilians', 'residents', 'northern', 'south']","['Hundreds of thousands of desperate Gazans flee after Israel orders &#039;impossible&#039; evacuation', 'Palestinians flee south after Israel calls for evacuation of northern Gaza', 'Palestinians flee northern Gaza after Israel orders 1 million to evacuate as ground attack looms']"
14,67,14_attack_did_opinion_hamas,"['attack', 'did', 'opinion', 'hamas', 'surprise', 'achieve', 'terrorism', 'chose', 'defeated', 'goal']","['What is Hamas, and why did it attack Israel now?', 'Israel at War: Why Did Hamas Attack?', ' What did Hamas achieve from the attack on Israel? ']"
15,65,15_bank_west_settlers_raid,"['bank', 'west', 'settlers', 'raid', 'palestinians', 'kill', 'settler', 'violence', 'israeli', 'officer']","['Israeli troops kill Palestinian in West Bank raid', 'Israeli forces kill two Palestinians in West Bank raid - Hamas', 'Israeli raid in West Bank kills 2 Palestinians']"
16,64,16_schumer_chuck_elections_speech,"['schumer', 'chuck', 'elections', 'speech', 'new', 'election', 'china', 'delegation', 'antisemitism', 'sen']","['Sen. Chuck Schumer will lead bipartisan delegation to Israel amid war with Hamas', 'Schumer calls for new elections in Israel', ""Chuck Schumer Calls For New Israeli Elections, Says Netanyahu `Lost His Way'""]"
17,64,17_gop_house_irs_aid,"['gop', 'house', 'irs', 'aid', 'johnson', 'pass', 'republicans', 'cuts', 'package', 'vote']","['House GOP demands IRS budget cuts to pay for Israel aid', '12 House Democrats break with Biden and vote for GOP-led Israel aid package that cuts IRS funding', 'Mike Johnson defends House GOP&#039;s Israel aid plan']"
18,64,18_hezbollah_lebanon_fight_backing,"['hezbollah', 'lebanon', 'fight', 'backing', 'watches', 'backed', 'join', 'tensions', 'interested', 'war']","['What would a war between Hezbollah and Israel look like?', ""A history of Hezbollah's tensions with Israel"", 'Hezbollah tells Iran it would fight alone in any war with Israel']"
19,62,19_famine_hunger_food_water,"['famine', 'hunger', 'food', 'water', 'levels', 'starving', 'imminent', 'northern', 'population', 'blown']","['Gaza population at risk of famine as it continues to face emergency levels of hunger, report finds', 'Famine may already be in northern Gaza, aid groups say', ""Famine in northern Gaza is imminent as more than 1 million people face `catastrophic' levels of hunger, new report warns""]"
20,61,20_released_hostages_release_prisoners,"['released', 'hostages', 'release', 'prisoners', 'freed', 'thai', 'list', '13', 'swap', 'women']","['What we know about the first hostages released by Hamas', 'Two American hostages released from Gaza', 'Hamas released two American hostages, Israel says']"
21,60,21_iran_biden_iranian_6b,"['iran', 'biden', 'iranian', '6b', 'refreeze', 'wider', 'trump', 'response', 'rob', 'arguments']","[""Cotton blasts Biden administration for 'unpersuasive' and 'disingenuous' arguments regarding Iranian policies"", 'Democrats join Republican push for Biden administration to refreeze $6B Iranian assets', ""Trio of Senate Democrats demand Biden `refreeze' $6B in Iran assets""]"
22,57,22_tlaib_rashida_censure_rep,"['tlaib', 'rashida', 'censure', 'rep', 'comments', 'house', 'democrats', 'remarks', 'michigan', 'votes']","['House Shoots Down Censure Resolution Against Rashida Tlaib', 'House votes to censure Rep. Rashida Tlaib for Israel-Hamas war comments', 'House votes to censure Rep. Rashida Tlaib over comments about Israel']"
23,56,23_wages_devastation_war_hamas,"['wages', 'devastation', 'war', 'hamas', 'gaza', 'israel', 'neighbourhood', 'wealthiest', 'flattened', 'ruins']","['Devastation in Gaza as Israel wages war on Hamas', 'Devastation in Gaza as Israel wages war on Hamas', 'Devastation in Gaza as Israel wages war on Hamas']"
24,55,24_latest_war_hamas_peace,"['latest', 'war', 'hamas', 'peace', 'years', 'anniversary', 'months', 'month', 'israel', 'fixed']","[""The latest on Israel's war on Hamas"", ""The latest on Israel's war on Hamas"", ""The latest on Israel's war on Hamas""]"
25,55,25_pier_floating_aid_temporarily,"['pier', 'floating', 'aid', 'temporarily', 'built', 'coast', 'removed', 'seas', 'repaired', 'build']","['U.S.-built pier will be removed from Gaza coast, repaired after damage from rough seas', 'Gaza Pier That U.S. Built to Deliver Aid Will Be Temporarily Removed for Repairs', 'How the U.S. military will use a floating pier to deliver Gaza aid']"
26,54,26_netanyahu_victory_beginning_indefinite,"['netanyahu', 'victory', 'beginning', 'indefinite', 'control', 'surprise', 'says', 'overall', 'ends', 'rejects']","['Netanyahu rejects Hamas cease-fire demands, vows to fight until &#8216;absolute victory&#8217;', 'Netanyahu says Israel will keep fighting in Gaza until victory', ""Netanyahu rejects Hamas cease-fire demands, vows to fight until `absolute victory'""]"
27,54,27_killed_soldiers_school_dozens,"['killed', 'soldiers', 'school', 'dozens', 'deadliest', 'strike', 'kills', 'strikes', 'kill', 'israeli']","['8 soldiers killed on the deadliest day for Israeli forces in months', 'Children among dozens killed in strike on Gaza school that Israel says was used by Hamas', 'Dozens killed in strike on U.N. school Israel says was used by Hamas']"
28,53,28_harris_kamala_vp_vice,"['harris', 'kamala', 'vp', 'vice', 'visit', 'selma', 'marijuana', 'sunday', 'bloody', 'emhoff']","[""Inside Kamala Harris and Doug Emhoff's L.A."", 'Kamala Harris interview', 'Interview:VP Kamala Harris']"
